Index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Pakxan,LA,68.72,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
2,Ponta Do Sol,PT,64.06,scattered clouds,32.6667,-17.1,Hotel do Campo
3,New Norfolk,AU,65.7,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
6,Rikitea,PF,79.32,light rain,-23.1203,-134.9692,People ThankYou
7,Cidreira,BR,75.29,few clouds,-30.1811,-50.2056,Hotel Castelo
9,Puerto Quijarro,BO,85.21,broken clouds,-17.7833,-57.7667,Hotel palance
10,Saint-Joseph,RE,77.36,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
11,Pasighat,IN,52.0,clear sky,28.0667,95.3333,Siang Guest House
15,Mataura,NZ,50.49,overcast clouds,-46.1927,168.8643,Ellie's Villa
16,Cape Town,ZA,70.09,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
20,Kruisfontein,ZA,71.47,light rain,-34.0033,24.7314,Oyster Bay House Rental
21,Bambous Virieux,MU,80.85,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
23,Hilo,US,80.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
26,Butaritari,KI,82.89,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
27,Castro,BR,69.19,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
28,Codrington,AU,78.71,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
30,Gra Liyia,GR,55.13,broken clouds,35.0167,25.6833,Diktynna Traditional Villas
32,Gizo,SB,81.66,light rain,-8.103,156.8419,Imagination Island
33,Punta Arenas,CL,57.31,broken clouds,-53.15,-70.9167,Hotel Hain
34,Rocha,UY,65.43,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
37,Alofi,NU,85.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
40,Hobart,AU,66.06,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
41,San Patricio,US,62.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
42,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
43,East London,ZA,75.79,clear sky,-33.0153,27.9116,Tu Casa
45,Jalu,LY,55.0,clear sky,29.0331,21.5482,صاحبة الفخامة
46,Saldanha,ZA,68.05,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
47,Port Alfred,ZA,75.06,few clouds,-33.5906,26.891,The Halyards Hotel
48,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
49,Denpasar,ID,80.26,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
50,Kaitangata,NZ,54.93,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
51,Lebu,CL,64.9,few clouds,-37.6167,-73.65,Hostal Las Lilas
