City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pangnirtung,CA,66.1451,-65.7125,-15.21,100,100,5.73,overcast clouds
1,Pakxan,LA,18.3778,103.6601,68.72,89,88,3.44,overcast clouds
2,Ponta Do Sol,PT,32.6667,-17.1,64.06,58,30,5.12,scattered clouds
3,New Norfolk,AU,-42.7826,147.0587,65.7,56,99,4.72,overcast clouds
4,Kyren,RU,51.6828,102.1408,-14.55,89,88,1.36,overcast clouds
5,Klaipeda,LT,55.7172,21.1175,37.45,76,85,21.21,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,79.32,69,1,18.16,light rain
7,Cidreira,BR,-30.1811,-50.2056,75.29,79,13,20.38,few clouds
8,The Pas,CA,53.8251,-101.2541,-2.18,60,0,5.75,clear sky
9,Puerto Quijarro,BO,-17.7833,-57.7667,85.21,67,75,2.24,broken clouds
10,Saint-Joseph,RE,-21.3667,55.6167,77.36,79,18,9.62,few clouds
11,Pasighat,IN,28.0667,95.3333,52.0,73,0,4.03,clear sky
12,Yumen,CN,40.2833,97.2,22.69,54,100,8.23,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,47.86,53,20,33.38,few clouds
14,Meiringen,CH,46.7268,8.184,34.25,81,40,0.0,scattered clouds
15,Mataura,NZ,-46.1927,168.8643,50.49,84,98,4.65,overcast clouds
16,Cape Town,ZA,-33.9258,18.4232,70.09,79,20,16.11,few clouds
17,Lavrentiya,RU,65.5833,-171.0,-14.03,92,12,7.45,few clouds
18,Te Anau,NZ,-45.4167,167.7167,48.02,85,96,4.63,overcast clouds
19,Sitka,US,57.0531,-135.33,42.69,81,75,5.75,broken clouds
20,Kruisfontein,ZA,-34.0033,24.7314,71.47,92,96,9.91,light rain
21,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,75,5.75,light intensity shower rain
22,Longyearbyen,SJ,78.2186,15.6401,8.44,78,0,9.22,clear sky
23,Hilo,US,19.7297,-155.09,80.33,65,0,8.01,clear sky
24,Tasiilaq,GL,65.6145,-37.6368,10.56,65,100,4.5,overcast clouds
25,Qaanaaq,GL,77.484,-69.3632,-19.93,47,0,8.59,clear sky
26,Butaritari,KI,3.0707,172.7902,82.89,68,98,15.14,overcast clouds
27,Castro,BR,-24.7911,-50.0119,69.19,68,45,2.24,scattered clouds
28,Codrington,AU,-38.2667,141.9667,78.71,36,85,17.29,overcast clouds
29,Khabary,RU,53.6259,79.5345,6.46,95,57,10.49,broken clouds
30,Gra Liyia,GR,35.0167,25.6833,55.13,74,74,1.01,broken clouds
31,Upernavik,GL,72.7868,-56.1549,0.97,97,100,4.99,light snow
32,Gizo,SB,-8.103,156.8419,81.66,72,77,2.8,light rain
33,Punta Arenas,CL,-53.15,-70.9167,57.31,47,75,21.85,broken clouds
34,Rocha,UY,-34.4833,-54.3333,65.43,92,100,15.99,overcast clouds
35,Barrow,US,71.2906,-156.7887,-25.58,62,75,8.05,broken clouds
36,Revelstoke,CA,50.9832,-118.2023,32.02,69,0,3.44,clear sky
37,Alofi,NU,-19.0595,-169.9187,85.89,70,45,14.97,scattered clouds
38,Cherskiy,RU,68.75,161.3,-20.0,98,100,9.98,overcast clouds
39,Albany,US,42.6001,-73.9662,39.22,64,50,1.01,scattered clouds
40,Hobart,AU,-42.8794,147.3294,66.06,63,75,11.5,broken clouds
41,San Patricio,US,28.017,-97.5169,62.69,61,100,25.68,overcast clouds
42,Pisco,PE,-13.7,-76.2167,73.45,68,0,24.16,clear sky
43,East London,ZA,-33.0153,27.9116,75.79,91,1,8.41,clear sky
44,Sheridan,US,44.8333,-106.9173,44.31,34,100,12.66,overcast clouds
45,Jalu,LY,29.0331,21.5482,55.0,44,0,5.03,clear sky
46,Saldanha,ZA,-33.0117,17.9442,68.05,88,96,13.96,overcast clouds
47,Port Alfred,ZA,-33.5906,26.891,75.06,93,12,5.21,few clouds
48,Vaini,TO,-21.2,-175.2,84.36,84,40,9.22,scattered clouds
49,Denpasar,ID,-8.65,115.2167,80.26,83,20,6.91,few clouds
50,Kaitangata,NZ,-46.2817,169.8464,54.93,85,100,10.67,overcast clouds
51,Lebu,CL,-37.6167,-73.65,64.9,69,23,11.3,few clouds
52,Hermanus,ZA,-34.4187,19.2345,67.89,81,100,3.65,overcast clouds
53,Pecos,US,31.4229,-103.4932,50.83,29,0,0.0,clear sky
54,Aklavik,CA,68.2191,-135.0107,-17.68,75,75,5.75,broken clouds
55,Jamestown,US,42.097,-79.2353,27.09,63,100,9.22,overcast clouds
