City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Madison,US,2022-02-11 22:48:07,34.7334,-86.5667,67.42,29,0,14.0
1,Mizan Teferi,ET,2022-02-11 22:48:08,6.9833,35.5833,67.96,56,77,3.0
2,Ulaanbaatar,MN,2022-02-11 22:47:02,47.9077,106.8832,-30.87,68,0,4.47
3,Georgetown,MY,2022-02-11 22:46:12,5.4112,100.3354,76.95,95,20,2.3
4,Busselton,AU,2022-02-11 22:48:09,-33.65,115.3333,58.08,85,27,5.08
5,Dukat,RU,2022-02-11 22:48:09,62.55,155.55,-25.01,80,73,3.87
6,Albany,US,2022-02-11 22:48:09,42.6001,-73.9662,48.85,53,89,9.8
7,Ushuaia,AR,2022-02-11 22:44:18,-54.8,-68.3,55.06,67,100,5.75
8,Narsaq,GL,2022-02-11 22:48:10,60.9167,-46.05,23.22,78,100,5.77
9,Zhangjiakou,CN,2022-02-11 22:48:11,40.81,114.8794,24.31,69,97,0.51
10,Altos,BR,2022-02-11 22:48:11,-5.0381,-42.46,82.71,94,100,4.72
11,Dekernes,EG,2022-02-11 22:48:11,31.0876,31.595,57.09,84,0,1.48
12,Faanui,PF,2022-02-11 22:48:12,-16.4833,-151.75,81.91,71,58,13.56
13,Kokopo,PG,2022-02-11 22:48:12,-4.352,152.2633,80.13,81,100,4.03
14,Kaitangata,NZ,2022-02-11 22:48:13,-46.2817,169.8464,61.81,51,89,6.58
15,Tazovskiy,RU,2022-02-11 22:48:13,67.4667,78.7,-5.13,80,98,13.0
16,Bogdanovich,RU,2022-02-11 22:48:13,56.7803,62.0494,8.76,96,100,6.87
17,Amalapuram,IN,2022-02-11 22:47:57,16.5833,82.0167,67.01,95,55,3.4
18,Vaini,TO,2022-02-11 22:48:14,-21.2,-175.2,86.16,84,40,8.05
19,Shaoyang,CN,2022-02-11 22:48:15,27.2315,111.4525,39.7,91,100,2.42
